component,explained_variance_ratio,explained_variance_ratio_cum
PC1,0.37049518123901054,0.37049518123901054
PC2,0.09624701969059149,0.46674220092960206
PC3,0.059015897815770345,0.5257580987453724
PC4,0.0499966955029918,0.5757547942483642
PC5,0.04454083978957781,0.620295634037942
PC6,0.03456971590316355,0.6548653499411056
PC7,0.03158882837141575,0.6864541783125213
PC8,0.028538857799112964,0.7149930361116342
