date,pm_mean_prob_avg,pm_last_prob_avg,pm_prob_chg_1d_avg,pm_market_days,pm_prob_chg_lag1,pm_prob_chg_lag2,pm_prob_chg_lag3,pm_prob_chg_lag5,pm_prob_chg_lag7,pm_prob_chg_lag14
2023-04-08 00:00:00+00:00,0.5033333333333333,0.5033333333333333,4.625929269271485e-18,3,0.0016666666666666496,9.25185853854297e-18,-0.001666666666666668,9.25185853854297e-18,0.0,2.6020852139652106e-18
2023-04-09 00:00:00+00:00,0.5016666666666666,0.5016666666666666,-0.001666666666666668,3,4.625929269271485e-18,0.0016666666666666496,9.25185853854297e-18,0.0,0.001666666666666659,0.0
2023-04-10 00:00:00+00:00,0.5016666666666666,0.5016666666666666,0.0,3,-0.001666666666666668,4.625929269271485e-18,0.0016666666666666496,-0.001666666666666668,9.25185853854297e-18,0.0
2023-04-11 00:00:00+00:00,0.5025,0.5025,0.0,4,0.0,-0.001666666666666668,4.625929269271485e-18,9.25185853854297e-18,0.0,0.0
2023-04-12 00:00:00+00:00,0.501,0.501,-0.0012499999999999942,5,0.0,0.0,-0.001666666666666668,0.0016666666666666496,-0.001666666666666668,0.0
2023-04-13 00:00:00+00:00,0.5008333333333334,0.5008333333333334,0.0,6,-0.0012499999999999942,0.0,0.0,4.625929269271485e-18,9.25185853854297e-18,0.0
2023-04-14 00:00:00+00:00,0.5008333333333334,0.5008333333333334,0.0,6,0.0,-0.0012499999999999942,0.0,-0.001666666666666668,0.0016666666666666496,0.0
2023-04-15 00:00:00+00:00,0.5007142857142857,0.5007142857142857,0.0,7,0.0,0.0,-0.0012499999999999942,0.0,4.625929269271485e-18,0.0
2023-04-16 00:00:00+00:00,0.5007142857142857,0.5007142857142857,0.0,7,0.0,0.0,0.0,0.0,-0.001666666666666668,0.001666666666666659
2023-04-17 00:00:00+00:00,0.5007142857142857,0.5007142857142857,0.0,7,0.0,0.0,0.0,-0.0012499999999999942,0.0,9.25185853854297e-18
2023-04-18 00:00:00+00:00,0.5007142857142857,0.5007142857142857,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-19 00:00:00+00:00,0.5007142857142857,0.5007142857142857,0.0,7,0.0,0.0,0.0,0.0,-0.0012499999999999942,-0.001666666666666668
2023-04-20 00:00:00+00:00,0.5,0.5,-0.0007142857142857147,7,0.0,0.0,0.0,0.0,0.0,9.25185853854297e-18
2023-04-21 00:00:00+00:00,0.5,0.5,7.434529182757744e-19,7,-0.0007142857142857147,0.0,0.0,0.0,0.0,0.0016666666666666496
2023-04-22 00:00:00+00:00,0.5,0.5,0.0,7,7.434529182757744e-19,-0.0007142857142857147,0.0,0.0,0.0,4.625929269271485e-18
2023-04-23 00:00:00+00:00,0.5,0.5,0.0,7,0.0,7.434529182757744e-19,-0.0007142857142857147,0.0,0.0,-0.001666666666666668
2023-04-24 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,7.434529182757744e-19,0.0,0.0,0.0
2023-04-25 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,-0.0007142857142857147,0.0,0.0
2023-04-26 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,7.434529182757744e-19,0.0,-0.0012499999999999942
2023-04-27 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,0.0,-0.0007142857142857147,0.0
2023-04-28 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,0.0,7.434529182757744e-19,0.0
2023-04-30 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01 00:00:00+00:00,0.5,0.5,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0
